Month,Place_Type,Climate,Trip_Duration_Days,Companions,Interest,Budget_Thousand_INR
December,Beach,Hot,14,o,Food,18.45
January,Hill Station,Cold,10,o,Adventure,12.57
September,Wildlife,Hot,2,o,Adventure,15.49
February,Beach,Moderate,4,o,Food,22.75
April,Historical,Hot,1,o,Food,12.99
November,Wildlife,Hot,14,o,Shopping,21.12
November,City,Moderate,6,o,Relaxation,13.53
March,Beach,Moderate,5,o,Shopping,17.89
January,Historical,Hot,10,o,Adventure,11.02
September,Wildlife,Moderate,4,o,Adventure,20.82
June,Wildlife,Hot,2,o,Relaxation,16.12
March,Beach,Hot,10,o,Culture,12.03
November,Wildlife,Moderate,14,o,Food,18.04
March,Hill Station,Cold,5,o,Adventure,16.36
March,Hill Station,Cold,5,o,Food,14.5
April,City,Moderate,5,o,Culture,18.66
January,Wildlife,Moderate,2,o,Culture,17.52
January,Religious,Moderate,1,o,Culture,10.94
March,City,Moderate,10,o,Culture,7.98
January,Wildlife,Moderate,2,o,Food,17.18
January,Hill Station,Cold,6,o,Food,22.39
March,Wildlife,Moderate,1,o,Shopping,16.42
June,City,Moderate,4,o,Adventure,13.9
June,Religious,Moderate,14,o,Adventure,10.9
March,Historical,Hot,3,o,Relaxation,8.49
December,Historical,Hot,6,o,Relaxation,15.43
March,Historical,Hot,2,o,Culture,14.26
April,Historical,Hot,4,o,Shopping,14.37
April,Historical,Hot,4,o,Culture,9.27
June,Hill Station,Cold,5,o,Shopping,19.22
November,Hill Station,Cold,14,o,Culture,19.18
February,Historical,Hot,5,o,Adventure,9.03
February,Beach,Hot,7,o,Adventure,18.3
October,City,Moderate,14,o,Shopping,18.12
April,Hill Station,Cold,5,o,Food,17.62
September,Hill Station,Cold,14,o,Adventure,16.95
July,Religious,Moderate,2,o,Culture,7.33
June,Religious,Moderate,2,o,Food,12.61
May,Religious,Moderate,7,o,Food,8.26
September,City,Moderate,3,o,Culture,14.86
November,Beach,Hot,3,o,Shopping,19.52
September,Wildlife,Moderate,1,o,Shopping,15.93
July,City,Moderate,6,o,Relaxation,14.67
November,Historical,Hot,4,o,Shopping,15.13
November,Wildlife,Hot,2,o,Relaxation,18.58
April,City,Moderate,5,o,Adventure,8.18
January,Beach,Hot,1,o,Relaxation,20.55
February,Beach,Moderate,10,o,Food,20.78
August,Historical,Hot,7,o,Shopping,14.35
February,Beach,Hot,7,o,Adventure,23.9
August,Beach,Moderate,1,o,Food,17.4
August,Wildlife,Hot,3,o,Adventure,18.85
October,Historical,Hot,14,o,Shopping,15.65
December,Historical,Hot,10,o,Relaxation,12.68
November,Historical,Hot,5,o,Relaxation,14.54
May,Wildlife,Moderate,10,o,Relaxation,17.88
May,Hill Station,Cold,6,o,Relaxation,12.86
March,City,Moderate,4,o,Relaxation,13.52
February,Historical,Hot,7,o,Relaxation,8.35
August,Historical,Hot,7,o,Food,15.15
July,Hill Station,Cold,1,o,Shopping,18.98
January,Wildlife,Hot,6,o,Shopping,14.75
September,City,Moderate,14,o,Shopping,9.61
April,Wildlife,Hot,5,o,Shopping,19.89
July,Historical,Hot,6,o,Adventure,13.24
August,Religious,Moderate,3,o,Relaxation,13.47
October,Wildlife,Moderate,1,o,Shopping,22.69
August,Hill Station,Cold,3,o,Relaxation,12.33
June,Hill Station,Moderate,4,o,Shopping,12.55
July,Historical,Hot,5,o,Culture,14.64
August,Historical,Hot,1,o,Adventure,11.28
April,Religious,Moderate,2,o,Culture,14.63
April,Religious,Moderate,4,o,Adventure,12.61
March,Hill Station,Cold,10,o,Relaxation,14.21
April,Religious,Moderate,10,o,Food,19.16
March,Religious,Moderate,2,o,Culture,12.88
October,Beach,Hot,1,o,Adventure,17.43
December,City,Moderate,4,o,Shopping,13.13
December,Hill Station,Cold,5,o,Adventure,14.59
January,Religious,Moderate,6,o,Food,10.33
February,Wildlife,Moderate,14,o,Culture,19.14
July,Religious,Moderate,10,o,Adventure,10.63
November,Hill Station,Moderate,10,o,Culture,17.22
March,Religious,Moderate,14,o,Shopping,8.46
September,Religious,Moderate,10,o,Food,6.46
May,Historical,Hot,6,o,Food,10.66
August,Beach,Hot,4,o,Culture,22.57
January,Historical,Hot,10,o,Culture,14.13
April,City,Moderate,6,o,Shopping,13.28
October,City,Moderate,5,o,Culture,14.89
April,Wildlife,Moderate,2,o,Food,22.29
September,Beach,Hot,4,o,Shopping,23.17
August,Religious,Moderate,1,o,Shopping,11.15
July,Hill Station,Moderate,4,o,Relaxation,18.25
September,City,Moderate,14,o,Shopping,16.16
June,City,Moderate,6,o,Food,8.87
May,Religious,Moderate,5,o,Culture,8.19
June,Beach,Moderate,2,o,Relaxation,20.91
April,Religious,Moderate,10,o,Relaxation,11.77
April,City,Moderate,5,o,Adventure,13.07
May,Beach,Hot,1,o,Relaxation,22.62
January,Religious,Moderate,1,o,Culture,12.71
November,Wildlife,Hot,10,o,Relaxation,20.41
May,Hill Station,Moderate,10,o,Food,14.05
March,Historical,Hot,1,o,Culture,14.28
February,City,Moderate,7,o,Adventure,10.68
November,Historical,Hot,1,o,Food,11.29
May,Beach,Hot,2,o,Food,19.88
July,Beach,Hot,4,o,Food,18.4
August,Wildlife,Moderate,5,o,Shopping,15.76
October,Wildlife,Moderate,1,o,Culture,17.24
November,Wildlife,Hot,4,o,Relaxation,14.32
April,City,Moderate,3,o,Relaxation,12.0
January,Wildlife,Hot,7,o,Relaxation,14.85
January,Historical,Hot,4,o,Culture,14.04
February,City,Moderate,4,o,Shopping,10.81
February,City,Moderate,14,o,Shopping,13.65
March,Beach,Hot,2,o,Culture,27.17
October,Hill Station,Cold,5,o,Culture,20.53
December,Historical,Hot,5,o,Shopping,5.92
September,Religious,Moderate,14,o,Culture,11.56
October,Historical,Hot,1,o,Adventure,10.01
May,Historical,Hot,1,o,Food,14.56
October,Hill Station,Cold,1,o,Food,12.68
January,Religious,Moderate,3,o,Food,15.98
March,Historical,Hot,7,o,Culture,11.0
August,Religious,Moderate,6,o,Adventure,10.05
November,Historical,Hot,2,o,Culture,12.95
December,Beach,Hot,10,o,Shopping,15.16
January,City,Moderate,10,o,Food,9.22
June,Hill Station,Moderate,2,o,Culture,17.75
August,Historical,Hot,7,o,Food,13.13
June,Hill Station,Cold,10,o,Food,19.95
April,Religious,Moderate,5,o,Adventure,6.44
August,Wildlife,Moderate,10,o,Culture,15.55
April,Hill Station,Moderate,3,o,Food,16.33
July,City,Moderate,2,o,Food,15.32
February,Beach,Hot,3,o,Shopping,19.94
December,Historical,Hot,5,o,Food,9.2
April,Historical,Hot,10,o,Shopping,8.12
April,Wildlife,Hot,14,o,Shopping,16.68
May,Religious,Moderate,7,o,Adventure,15.9
May,City,Moderate,5,o,Adventure,8.71
August,Wildlife,Hot,14,o,Relaxation,16.61
September,Historical,Hot,14,o,Culture,10.6
April,Historical,Hot,4,o,Culture,12.18
July,Wildlife,Hot,1,o,Relaxation,24.04
July,City,Moderate,3,o,Shopping,10.06
September,Historical,Hot,6,o,Relaxation,13.39
September,Hill Station,Cold,10,o,Adventure,14.39
November,Hill Station,Cold,3,o,Shopping,15.18
June,Hill Station,Moderate,7,o,Culture,9.31
November,Religious,Moderate,14,o,Culture,14.84
September,Historical,Hot,1,o,Shopping,10.15
November,Wildlife,Hot,5,o,Relaxation,23.33
February,Beach,Moderate,2,o,Shopping,21.32
January,Historical,Hot,1,o,Culture,11.67
June,City,Moderate,6,o,Culture,11.54
September,Historical,Hot,7,o,Relaxation,12.62
March,Wildlife,Moderate,2,o,Relaxation,15.23
November,Wildlife,Moderate,4,o,Food,19.55
August,Historical,Hot,5,o,Relaxation,14.86
August,Historical,Hot,5,o,Adventure,16.36
August,Religious,Moderate,6,o,Adventure,12.09
December,Wildlife,Hot,5,o,Shopping,18.74
July,Historical,Hot,10,o,Relaxation,9.51
October,Hill Station,Moderate,6,o,Shopping,13.32
January,Wildlife,Hot,7,o,Culture,16.94
November,City,Moderate,1,o,Food,13.35
April,Wildlife,Moderate,6,o,Culture,14.99
May,Beach,Moderate,3,o,Food,23.49
May,Religious,Moderate,10,o,Adventure,10.35
February,Hill Station,Moderate,5,o,Relaxation,18.3
April,City,Moderate,3,o,Relaxation,11.78
September,Wildlife,Hot,5,o,Food,17.78
May,Beach,Hot,6,o,Shopping,18.43
March,Hill Station,Moderate,4,o,Adventure,17.85
June,Religious,Moderate,2,o,Food,11.97
September,Historical,Hot,2,o,Culture,11.61
October,Historical,Hot,7,o,Culture,12.29
November,Religious,Moderate,4,o,Adventure,12.79
September,Historical,Hot,6,o,Food,9.55
November,Wildlife,Moderate,10,o,Adventure,23.28
February,Religious,Moderate,3,o,Shopping,14.61
August,Hill Station,Moderate,2,o,Culture,11.41
March,Hill Station,Moderate,7,o,Food,12.9
July,Historical,Hot,3,o,Food,11.97
October,Historical,Hot,7,o,Shopping,5.73
April,City,Moderate,10,o,Culture,18.31
February,Historical,Hot,6,o,Culture,11.07
July,Wildlife,Moderate,5,o,Adventure,19.41
February,Beach,Hot,4,o,Shopping,21.84
June,Religious,Moderate,4,o,Adventure,15.07
September,Beach,Hot,4,o,Adventure,20.73
June,Wildlife,Moderate,3,o,Relaxation,15.48
March,Wildlife,Hot,3,o,Culture,15.59
February,Wildlife,Moderate,1,o,Relaxation,17.7
April,Beach,Moderate,6,o,Culture,15.66
January,Hill Station,Moderate,3,o,Culture,10.78
February,Religious,Moderate,2,o,Food,9.01
September,Historical,Hot,2,o,Culture,16.08
January,Historical,Hot,14,o,Food,5.89
January,City,Moderate,10,o,Adventure,17.71
August,Historical,Hot,10,o,Adventure,11.09
October,Hill Station,Cold,3,o,Culture,14.99
October,Hill Station,Cold,14,o,Culture,18.81
October,Religious,Moderate,14,o,Shopping,13.31
October,City,Moderate,7,o,Food,14.48
December,Hill Station,Cold,4,o,Food,15.27
July,Historical,Hot,6,o,Relaxation,14.07
December,Historical,Hot,2,o,Shopping,10.8
November,City,Moderate,5,o,Culture,13.67
February,City,Moderate,2,o,Shopping,13.04
February,Hill Station,Cold,6,o,Shopping,16.42
September,Beach,Hot,14,o,Food,20.16
June,City,Moderate,7,o,Shopping,17.35
October,Religious,Moderate,5,o,Culture,13.88
September,City,Moderate,4,o,Food,19.46
February,Beach,Hot,6,o,Relaxation,17.7
May,Wildlife,Hot,4,o,Adventure,23.57
November,Historical,Hot,5,o,Food,9.58
December,Hill Station,Cold,5,o,Culture,14.53
March,City,Moderate,3,o,Adventure,8.93
March,Wildlife,Moderate,1,o,Adventure,14.72
July,Hill Station,Moderate,10,o,Shopping,15.45
May,City,Moderate,6,o,Culture,7.26
March,Wildlife,Hot,3,o,Adventure,18.09
May,Wildlife,Hot,10,o,Adventure,19.23
October,Religious,Moderate,10,o,Shopping,15.43
September,Historical,Hot,2,o,Relaxation,14.1
May,City,Moderate,10,o,Adventure,12.6
April,Wildlife,Hot,7,o,Adventure,20.54
April,Wildlife,Hot,5,o,Adventure,15.59
May,Beach,Hot,6,o,Culture,14.86
December,Hill Station,Moderate,7,o,Shopping,19.06
September,Beach,Moderate,4,o,Shopping,19.66
July,Wildlife,Hot,1,o,Adventure,20.71
February,Historical,Hot,6,o,Shopping,11.67
July,Wildlife,Hot,7,o,Food,16.83
January,City,Moderate,6,o,Shopping,13.02
February,Beach,Hot,7,o,Culture,20.14
October,Hill Station,Moderate,7,o,Shopping,13.65
May,Wildlife,Hot,6,o,Shopping,18.87
February,Beach,Hot,14,o,Relaxation,20.36
September,Religious,Moderate,4,o,Food,12.54
April,City,Moderate,2,o,Relaxation,15.13
March,Beach,Hot,3,o,Relaxation,16.63
November,Religious,Moderate,10,o,Relaxation,8.52
November,Historical,Hot,6,o,Food,11.09
August,Religious,Moderate,2,o,Relaxation,11.73
May,Historical,Hot,1,o,Culture,18.14
August,City,Moderate,10,o,Culture,13.34
May,Hill Station,Moderate,2,o,Culture,19.65
October,Religious,Moderate,14,o,Food,17.18
September,Historical,Hot,1,o,Food,17.27
October,Historical,Hot,10,o,Culture,11.25
August,Wildlife,Moderate,2,o,Adventure,19.91
November,City,Moderate,3,o,Food,17.47
August,Hill Station,Cold,14,o,Shopping,17.63
June,Wildlife,Moderate,5,o,Culture,11.81
November,Historical,Hot,1,o,Culture,16.33
June,Religious,Moderate,2,o,Adventure,13.66
May,Wildlife,Moderate,3,o,Culture,16.59
November,City,Moderate,3,o,Food,17.51
March,City,Moderate,2,o,Shopping,13.22
March,City,Moderate,14,o,Culture,17.89
June,Hill Station,Moderate,1,o,Food,10.86
April,City,Moderate,6,o,Relaxation,12.96
March,Historical,Hot,3,o,Relaxation,14.39
September,Hill Station,Cold,14,o,Adventure,16.15
October,Religious,Moderate,3,o,Culture,10.9
March,Wildlife,Hot,3,o,Relaxation,20.37
January,Religious,Moderate,7,o,Shopping,6.68
October,City,Moderate,5,o,Shopping,12.63
September,Religious,Moderate,4,o,Relaxation,10.77
June,City,Moderate,10,o,Relaxation,9.7
September,Historical,Hot,14,o,Shopping,13.46
October,Historical,Hot,3,o,Relaxation,14.24
June,City,Moderate,14,o,Shopping,12.13
February,Hill Station,Cold,3,o,Culture,12.04
March,City,Moderate,7,o,Food,14.51
June,Hill Station,Cold,1,o,Shopping,12.55
September,Historical,Hot,6,o,Shopping,10.32
June,Beach,Hot,4,o,Adventure,19.68
December,Hill Station,Cold,6,o,Adventure,11.89
May,Beach,Hot,10,o,Adventure,25.89
August,Religious,Moderate,1,o,Shopping,11.11
April,Hill Station,Cold,3,o,Culture,16.54
May,Wildlife,Moderate,4,o,Adventure,20.61
April,City,Moderate,7,o,Adventure,12.66
February,Religious,Moderate,10,o,Adventure,10.34
October,Wildlife,Hot,4,o,Food,14.79
July,Religious,Moderate,1,o,Culture,12.74
October,Wildlife,Moderate,7,o,Relaxation,16.17
June,Beach,Hot,2,o,Food,13.09
August,Wildlife,Moderate,1,o,Shopping,21.93
May,Religious,Moderate,1,o,Culture,10.25
April,City,Moderate,2,o,Culture,14.73
January,Wildlife,Hot,6,o,Relaxation,17.93
November,Wildlife,Hot,10,o,Relaxation,16.62
March,Religious,Moderate,2,o,Relaxation,8.13
May,Religious,Moderate,4,o,Adventure,6.18
June,Hill Station,Cold,5,o,Adventure,15.61
August,Wildlife,Moderate,5,o,Food,15.06
June,Hill Station,Cold,1,o,Culture,11.76
February,Religious,Moderate,6,o,Culture,11.65
July,Historical,Hot,6,o,Shopping,14.73
June,Beach,Hot,14,o,Shopping,19.98
February,City,Moderate,7,o,Shopping,17.44
May,Wildlife,Moderate,6,o,Food,24.12
November,Hill Station,Moderate,5,o,Culture,18.04
December,City,Moderate,7,o,Food,9.89
August,Beach,Hot,1,o,Culture,19.43
July,Religious,Moderate,5,o,Food,15.19
November,Religious,Moderate,7,o,Adventure,7.07
March,City,Moderate,10,o,Adventure,7.26
April,Hill Station,Moderate,6,o,Adventure,17.82
January,City,Moderate,3,o,Food,8.8
June,Religious,Moderate,10,o,Culture,12.69
June,Hill Station,Cold,7,o,Food,13.63
February,City,Moderate,1,o,Relaxation,11.12
September,Religious,Moderate,7,o,Shopping,9.85
May,Wildlife,Moderate,10,o,Culture,15.76
April,Beach,Hot,2,o,Shopping,12.49
March,Beach,Moderate,10,o,Shopping,22.05
December,Hill Station,Cold,2,o,Culture,16.17
March,Wildlife,Hot,3,o,Culture,16.75
April,City,Moderate,3,o,Adventure,11.27
June,Beach,Hot,14,o,Adventure,22.27
September,Wildlife,Hot,3,o,Shopping,17.3
May,Wildlife,Hot,7,o,Adventure,19.25
July,Religious,Moderate,7,o,Food,13.8
June,Wildlife,Moderate,2,o,Relaxation,14.71
June,Historical,Hot,3,o,Food,9.71
July,Wildlife,Hot,14,o,Relaxation,11.59
March,Hill Station,Cold,5,o,Food,15.78
December,Beach,Hot,4,o,Culture,17.29
May,City,Moderate,4,o,Adventure,9.58
November,Religious,Moderate,5,o,Relaxation,11.8
November,Wildlife,Hot,3,o,Food,15.04
November,Wildlife,Moderate,6,o,Relaxation,17.14
February,Wildlife,Moderate,1,o,Adventure,20.02
October,Religious,Moderate,7,o,Relaxation,9.27
November,Wildlife,Moderate,14,o,Shopping,20.32
April,City,Moderate,7,o,Shopping,15.31
December,City,Moderate,1,o,Adventure,10.83
August,Beach,Hot,10,o,Shopping,27.3
March,Beach,Hot,6,o,Food,20.51
July,Religious,Moderate,3,o,Culture,11.27
April,City,Moderate,10,o,Culture,14.46
April,Hill Station,Moderate,3,o,Shopping,19.74
July,Hill Station,Cold,7,o,Culture,13.22
October,Beach,Hot,6,o,Culture,21.76
September,Beach,Hot,10,o,Shopping,21.63
January,Historical,Hot,2,o,Shopping,15.1
April,Historical,Hot,6,o,Relaxation,5.38
August,Hill Station,Moderate,10,o,Culture,16.08
July,City,Moderate,3,o,Adventure,16.6
June,City,Moderate,1,o,Shopping,11.78
September,Historical,Hot,4,o,Food,5.89
July,City,Moderate,14,o,Adventure,9.98
November,Historical,Hot,2,o,Food,6.39
June,Beach,Hot,6,o,Shopping,18.95
April,Wildlife,Hot,14,o,Relaxation,17.98
January,Historical,Hot,3,o,Adventure,11.34
September,Religious,Moderate,10,o,Shopping,13.49
October,Beach,Moderate,6,o,Culture,13.37
December,Beach,Hot,5,o,Food,15.56
September,Wildlife,Moderate,14,o,Food,20.43
January,Historical,Hot,6,o,Shopping,13.53
October,City,Moderate,5,o,Shopping,16.74
August,Religious,Moderate,5,o,Food,13.9
October,Religious,Moderate,10,o,Adventure,11.25
November,Beach,Hot,4,o,Relaxation,18.62
January,Hill Station,Cold,10,o,Relaxation,12.45
July,City,Moderate,4,o,Relaxation,17.53
December,Historical,Hot,3,o,Adventure,13.21
June,Wildlife,Hot,10,o,Food,20.11
March,Wildlife,Moderate,10,o,Culture,15.47
June,Wildlife,Hot,5,o,Food,16.19
April,Wildlife,Hot,5,o,Relaxation,14.06
May,Wildlife,Moderate,5,o,Relaxation,19.27
June,Religious,Moderate,10,o,Shopping,8.23
February,City,Moderate,14,o,Culture,15.61
March,Historical,Hot,5,o,Culture,16.07
June,Hill Station,Cold,10,o,Adventure,10.1
April,Religious,Moderate,4,o,Shopping,11.84
December,Wildlife,Moderate,5,o,Food,11.66
December,Beach,Hot,4,o,Food,24.49
April,Beach,Moderate,4,o,Food,20.84
June,Hill Station,Cold,10,o,Shopping,11.62
September,Hill Station,Cold,3,o,Adventure,15.33
November,Historical,Hot,4,o,Shopping,14.18
November,City,Moderate,1,o,Culture,14.44
December,Hill Station,Moderate,1,o,Food,15.67
January,Beach,Hot,7,o,Relaxation,25.65
January,Historical,Hot,1,o,Culture,16.04
May,City,Moderate,10,o,Culture,17.78
September,Religious,Moderate,10,o,Relaxation,9.47
June,City,Moderate,3,o,Adventure,10.03
December,Religious,Moderate,3,o,Culture,10.62
October,Hill Station,Moderate,4,o,Culture,22.62
September,Beach,Hot,6,o,Shopping,21.57
March,Hill Station,Cold,3,o,Adventure,18.21
January,Historical,Hot,5,o,Relaxation,10.25
May,Historical,Hot,6,o,Shopping,14.56
November,City,Moderate,6,o,Culture,6.04
November,Religious,Moderate,2,o,Adventure,10.31
July,Historical,Hot,14,o,Relaxation,13.88
November,Religious,Moderate,5,o,Adventure,14.81
March,City,Moderate,10,o,Relaxation,10.54
June,Beach,Hot,7,o,Food,19.22
November,Religious,Moderate,4,o,Food,6.49
August,Beach,Hot,14,o,Food,19.98
October,Religious,Moderate,2,o,Adventure,7.04
September,Hill Station,Cold,3,o,Food,14.31
August,Beach,Hot,2,o,Food,22.09
August,Religious,Moderate,2,o,Food,7.95
August,Wildlife,Hot,3,o,Adventure,18.55
October,Wildlife,Moderate,1,o,Shopping,14.6
December,Wildlife,Hot,1,o,Culture,16.51
December,Historical,Hot,4,o,Adventure,19.72
July,Wildlife,Moderate,6,o,Adventure,17.18
January,Religious,Moderate,2,o,Food,8.65
July,Historical,Hot,3,o,Culture,14.02
July,Beach,Moderate,10,o,Culture,18.28
November,Historical,Hot,14,o,Adventure,10.36
March,Beach,Hot,14,o,Adventure,27.71
January,Historical,Hot,1,o,Relaxation,8.68
July,City,Moderate,14,o,Food,17.17
August,Historical,Hot,6,o,Relaxation,5.0
December,Beach,Hot,2,o,Relaxation,23.74
January,Hill Station,Cold,4,o,Food,8.78
October,Beach,Hot,1,o,Adventure,15.78
December,Historical,Hot,1,o,Relaxation,9.67
September,Historical,Hot,4,o,Relaxation,8.67
May,Hill Station,Cold,4,o,Food,20.26
October,Religious,Moderate,6,o,Food,12.46
November,Beach,Hot,14,o,Relaxation,17.68
May,Beach,Hot,1,o,Culture,17.89
September,Wildlife,Hot,10,o,Shopping,14.82
September,Hill Station,Cold,6,o,Shopping,15.3
March,Religious,Moderate,5,o,Shopping,10.61
August,Historical,Hot,4,o,Food,13.5
August,Beach,Hot,1,o,Relaxation,16.84
September,Wildlife,Moderate,14,o,Shopping,19.44
May,Beach,Moderate,4,o,Relaxation,17.18
June,City,Moderate,2,o,Shopping,11.92
May,Wildlife,Hot,7,o,Adventure,20.48
April,Religious,Moderate,14,o,Adventure,9.03
June,Beach,Moderate,5,o,Relaxation,17.19
December,Hill Station,Cold,2,o,Relaxation,9.99
December,Religious,Moderate,4,o,Relaxation,16.29
June,Historical,Hot,5,o,Food,8.28
November,Historical,Hot,6,o,Food,9.55
September,City,Moderate,10,o,Culture,16.95
June,Historical,Hot,4,o,Shopping,6.74
January,City,Moderate,4,o,Shopping,15.27
May,Religious,Moderate,14,o,Adventure,6.76
March,Wildlife,Hot,4,o,Culture,10.75
October,City,Moderate,4,o,Shopping,18.09
August,Historical,Hot,10,o,Culture,12.63
March,Historical,Hot,3,o,Culture,11.71
September,Religious,Moderate,1,o,Relaxation,9.37
November,Wildlife,Hot,1,o,Adventure,18.2
November,Hill Station,Cold,4,o,Relaxation,15.34
April,Hill Station,Cold,14,o,Adventure,15.45
October,Historical,Hot,10,o,Adventure,18.47
January,Religious,Moderate,14,o,Adventure,13.02
January,Wildlife,Moderate,14,o,Adventure,17.51
May,Religious,Moderate,1,o,Food,10.45
February,Wildlife,Hot,2,o,Relaxation,13.13
April,Wildlife,Moderate,14,o,Relaxation,17.3
July,City,Moderate,2,o,Culture,13.59
October,City,Moderate,4,o,Shopping,10.06
November,Religious,Moderate,2,o,Culture,12.22
July,Religious,Moderate,7,o,Adventure,5.89
November,Historical,Hot,1,o,Adventure,15.09
August,Religious,Moderate,7,o,Adventure,12.42
February,Religious,Moderate,14,o,Food,11.77
December,Hill Station,Cold,10,o,Relaxation,17.95
November,City,Moderate,5,o,Adventure,9.99
June,Wildlife,Hot,1,o,Relaxation,18.53
February,Beach,Hot,5,o,Shopping,21.15
July,Beach,Hot,14,o,Food,12.89
December,City,Moderate,2,o,Relaxation,14.55
February,Wildlife,Moderate,7,o,Adventure,14.82
October,Beach,Hot,7,o,Culture,18.17
August,City,Moderate,10,o,Culture,8.78
July,Beach,Hot,7,o,Food,24.02
October,Beach,Hot,5,o,Adventure,17.35
May,Beach,Hot,3,o,Adventure,26.24
June,Historical,Hot,6,o,Shopping,11.09
May,Hill Station,Moderate,10,o,Adventure,12.42
March,City,Moderate,2,o,Adventure,15.1
September,Beach,Hot,14,o,Shopping,21.82
January,Wildlife,Moderate,2,o,Adventure,12.44
October,City,Moderate,6,o,Food,20.68
July,Historical,Hot,7,o,Culture,11.71
September,Hill Station,Cold,3,o,Food,13.94
March,Religious,Moderate,5,o,Relaxation,11.73
March,City,Moderate,2,o,Shopping,13.54
July,Beach,Hot,5,o,Culture,19.0
May,Historical,Hot,4,o,Culture,10.12
October,Religious,Moderate,4,o,Food,16.44
May,Historical,Hot,1,o,Relaxation,14.12
July,Historical,Hot,6,o,Food,10.31
November,Historical,Hot,3,o,Shopping,13.9
December,City,Moderate,4,o,Food,15.92
July,Historical,Hot,6,o,Relaxation,13.87
April,City,Moderate,6,o,Food,8.29
June,Historical,Hot,2,o,Shopping,9.82
September,Wildlife,Hot,3,o,Food,16.26
December,Religious,Moderate,4,o,Shopping,7.04
July,Historical,Hot,10,o,Adventure,11.32
May,Beach,Hot,3,o,Relaxation,21.14
February,Religious,Moderate,10,o,Shopping,12.83
July,Wildlife,Hot,14,o,Food,20.86
January,Wildlife,Hot,6,o,Food,20.19
April,Religious,Moderate,6,o,Adventure,10.79
November,Beach,Hot,7,o,Food,15.02
January,City,Moderate,2,o,Adventure,15.46
December,City,Moderate,14,o,Food,13.4
June,Wildlife,Moderate,7,o,Shopping,13.76
January,Historical,Hot,10,o,Culture,15.16
February,Hill Station,Moderate,2,o,Shopping,18.39
May,Religious,Moderate,6,o,Culture,10.76
August,Historical,Hot,6,o,Food,10.6
December,Historical,Hot,10,o,Shopping,14.66
January,City,Moderate,2,o,Culture,8.78
November,Hill Station,Cold,3,o,Adventure,16.5
March,Religious,Moderate,14,o,Food,11.67
July,Beach,Hot,10,o,Food,18.56
March,Beach,Hot,7,o,Relaxation,19.44
April,Historical,Hot,10,o,Food,10.68
January,Wildlife,Hot,4,o,Shopping,15.05
October,Beach,Hot,2,o,Adventure,23.13
June,Wildlife,Hot,4,o,Culture,12.95
November,Historical,Hot,10,o,Culture,13.76
July,Wildlife,Moderate,7,o,Food,17.25
