place_id,place_name,state,latitude,longitude,place_type,month,climate,popularity_level,accessibility,budget_thousand_inr,trip_duration_days,companions,interest,safety_index,entry_fee,user_id,session_id,rating_given,review_text,travel_dates_start,travel_dates_end,device_type,engagement_score,mobility_restrictions,language_preference
45,Goa,Goa,15.287846015474738,74.24778163119734,Beach,Mar,Temperate,2.7,Easy,25,7,Couple,Nature,4.5,0,2757,984574,4.0,Not worth the price.,2025-09-16,2025-09-23,mobile,23,Kids,Hindi
46,Leh,Ladakh,34.245015238308554,77.6582856464238,Adventure,Jan,Arid,2.5,Easy,18,9,Solo,Nature,1.5,20,4781,943523,1.9,Amazing place!,2025-10-15,2025-10-24,desktop,92,Kids,English
47,Darjeeling,West Bengal,27.03583640333559,88.22009676614356,Hill Station,Aug,Arid,2.9,Hard,16,1,Couple,Food,3.2,100,3038,910717,4.2,Amazing place!,2025-04-22,2025-04-23,mobile,47,Wheelchair,Hindi
48,Udaipur,Rajasthan,24.649937594958516,73.84936315575324,Heritage,Jan,Humid,3.8,Hard,43,6,Friends,Culture,3.5,10,1330,417537,3.5,Had a wonderful time.,2025-12-01,2025-12-07,mobile,51,Kids,Hindi
49,Manali,Himachal Pradesh,32.259613441917345,76.97161341718696,Hill Station,Oct,Cold,4.1,Moderate,46,3,Family,Adventure,3.8,100,138,417623,4.4,Not worth the price.,2025-09-30,2025-10-03,desktop,84,Wheelchair,English
50,Darjeeling,West Bengal,27.048804106855847,88.21456616507203,Hill Station,Feb,Arid,2.4,Moderate,47,11,Solo,Spiritual,2.0,20,761,779574,1.5,Great for families.,2025-04-05,2025-04-16,mobile,16,Wheelchair,Other
51,Darjeeling,West Bengal,27.092022571097072,88.17148717433905,Hill Station,Dec,Cold,2.6,Hard,31,13,Family,Culture,4.9,100,3123,517170,4.3,Not worth the price.,2025-04-02,2025-04-15,desktop,61,Kids,Other
52,Rishikesh,Uttarakhand,29.943491113076746,78.24844671760867,Spiritual,May,Cold,2.5,Moderate,30,13,Solo,Relaxation,2.3,10,2297,909006,3.5,Had a wonderful time.,2025-08-27,2025-09-09,desktop,94,None,Other
53,Goa,Goa,15.384435426460051,74.06196362774644,Beach,Aug,Temperate,4.0,Easy,19,8,Solo,Relaxation,2.9,10,4124,173686,3.1,Had a wonderful time.,2025-12-31,2026-01-08,desktop,14,Wheelchair,Other
54,Darjeeling,West Bengal,27.076021897040704,88.18424881061867,Hill Station,May,Temperate,4.4,Hard,49,2,Friends,Spiritual,2.8,20,1907,266926,1.4,Had a wonderful time.,2025-04-29,2025-05-01,mobile,28,Wheelchair,English
55,Mysore,Karnataka,12.414759978128474,76.66173361586964,Heritage,Feb,Cold,1.4,Moderate,48,9,Family,Spiritual,4.6,50,1604,631849,4.2,Could be better.,2025-04-19,2025-04-28,desktop,86,Kids,Other
56,Manali,Himachal Pradesh,32.44804772305416,77.32779034961852,Hill Station,Jan,Tropical,3.3,Moderate,45,5,Couple,Spiritual,2.5,10,1762,699991,3.0,Had a wonderful time.,2025-08-17,2025-08-22,mobile,33,Kids,Hindi
57,Leh,Ladakh,34.08753574308782,77.52828746162353,Adventure,Nov,Tropical,1.7,Moderate,34,8,Solo,Relaxation,4.6,20,243,856254,2.6,Not worth the price.,2025-02-05,2025-02-13,desktop,95,Kids,Hindi
58,Rishikesh,Uttarakhand,30.125925326898315,78.25910911675042,Spiritual,Oct,Tropical,4.5,Moderate,34,8,Family,Spiritual,3.9,150,4290,625134,3.1,Had a wonderful time.,2025-01-26,2025-02-03,mobile,45,Wheelchair,Other
59,Leh,Ladakh,34.09614429967304,77.47679532763712,Adventure,May,Cold,2.7,Easy,24,1,Family,Relaxation,3.1,0,4750,341983,1.3,Could be better.,2025-05-19,2025-05-20,mobile,77,Wheelchair,Other
60,Jaipur,Rajasthan,26.8975448594993,75.74655398623648,Historical,Jun,Humid,1.5,Hard,14,12,Solo,Culture,1.8,10,1620,108512,1.6,Had a wonderful time.,2025-11-25,2025-12-07,mobile,9,Wheelchair,English
61,Darjeeling,West Bengal,27.16484063401785,88.30915166052428,Hill Station,Sep,Cold,1.4,Easy,48,2,Family,Spiritual,1.5,20,2636,435842,1.3,Had a wonderful time.,2025-10-23,2025-10-25,desktop,22,Wheelchair,English
62,Darjeeling,West Bengal,27.089191689221884,88.33233511266525,Hill Station,Oct,Tropical,4.2,Hard,25,5,Solo,Relaxation,4.3,20,78,599097,4.6,Could be better.,2025-03-30,2025-04-04,mobile,42,None,Other
63,Varanasi,Uttar Pradesh,25.267521361758238,83.16460189019105,Spiritual,Jun,Temperate,3.9,Hard,42,1,Family,Spiritual,4.0,0,2713,692016,4.6,Great for families.,2025-11-05,2025-11-06,desktop,51,None,Hindi
64,Udaipur,Rajasthan,24.437541375422015,73.8268754043207,Heritage,Oct,Tropical,1.6,Hard,33,1,Couple,Adventure,3.1,20,420,675644,1.6,Could be better.,2025-04-07,2025-04-08,mobile,27,None,Hindi
65,Udaipur,Rajasthan,24.550187527969634,73.66996787658383,Heritage,Nov,Temperate,3.9,Easy,14,1,Family,Relaxation,1.4,100,4911,171907,2.8,Not worth the price.,2025-07-03,2025-07-04,mobile,29,Kids,English
66,Darjeeling,West Bengal,26.993259205755052,88.2074354226653,Hill Station,Nov,Temperate,3.9,Moderate,31,3,Couple,Nature,3.8,50,794,486858,3.4,Great for families.,2025-05-28,2025-05-31,mobile,74,Kids,English
67,Darjeeling,West Bengal,26.858127975109575,88.41230443114891,Hill Station,Jun,Tropical,2.8,Moderate,47,12,Couple,Food,4.6,150,3282,641656,2.0,Great for families.,2025-04-14,2025-04-26,desktop,43,None,Hindi
68,Kerala,Kerala,10.79023521946947,76.40128491681601,Backwater,Sep,Humid,1.3,Hard,33,14,Couple,Culture,4.7,150,1793,963021,1.9,Great for families.,2025-12-12,2025-12-26,desktop,36,Kids,Other
69,Rishikesh,Uttarakhand,30.03955738072995,78.36278830180285,Spiritual,Mar,Arid,2.2,Hard,44,5,Solo,Nature,2.5,100,202,611411,4.2,Could be better.,2025-06-03,2025-06-08,mobile,35,Kids,English
70,Kerala,Kerala,10.932817058396191,76.27843179671885,Backwater,Nov,Cold,2.4,Moderate,31,2,Friends,Culture,4.7,20,955,301579,4.7,Not worth the price.,2025-07-01,2025-07-03,desktop,25,Wheelchair,Hindi
71,Udaipur,Rajasthan,24.689282614511193,73.64267839716847,Heritage,Jun,Cold,2.1,Moderate,32,2,Friends,Relaxation,3.7,0,3433,857907,2.7,Great for families.,2025-03-04,2025-03-06,mobile,49,Kids,English
72,Udaipur,Rajasthan,24.51764337872663,73.72742865634726,Heritage,Dec,Humid,4.0,Hard,23,14,Family,Food,1.8,100,3377,841804,2.5,Great for families.,2025-05-24,2025-06-07,desktop,19,Kids,Hindi
73,Manali,Himachal Pradesh,32.343599243982986,77.0886379719427,Hill Station,Jan,Humid,3.1,Moderate,32,1,Family,Culture,2.6,150,947,951587,1.7,Could be better.,2025-02-24,2025-02-25,mobile,3,Wheelchair,Hindi
74,Mysore,Karnataka,12.379122387762074,76.50674609838902,Heritage,Oct,Tropical,2.6,Hard,32,2,Solo,Nature,4.5,0,4409,307606,2.0,Could be better.,2025-09-12,2025-09-14,mobile,72,None,Other
75,Rishikesh,Uttarakhand,30.168156059636306,78.07953082307255,Spiritual,Feb,Humid,4.5,Hard,12,2,Solo,Nature,4.2,150,1312,999885,4.3,Had a wonderful time.,2025-06-14,2025-06-16,desktop,85,Wheelchair,English
76,Udaipur,Rajasthan,24.41842208279316,73.88896869342628,Heritage,Oct,Humid,4.6,Hard,9,4,Family,Nature,2.3,10,4803,989302,1.1,Great for families.,2025-01-20,2025-01-24,mobile,37,Kids,Hindi
77,Rishikesh,Uttarakhand,30.02416894583227,78.39276514713998,Spiritual,Apr,Temperate,4.4,Hard,26,12,Couple,Culture,1.6,10,2680,167642,4.6,Amazing place!,2025-05-08,2025-05-20,desktop,81,None,Hindi
78,Manali,Himachal Pradesh,32.45512395384331,77.25592572844137,Hill Station,Jul,Cold,2.0,Moderate,26,11,Family,Relaxation,2.7,10,442,880316,1.7,Amazing place!,2025-08-03,2025-08-14,mobile,75,None,Other
79,Rishikesh,Uttarakhand,29.923940701402366,78.32278636553094,Spiritual,Dec,Tropical,3.2,Easy,42,10,Couple,Culture,3.9,100,342,816756,2.1,Could be better.,2025-10-14,2025-10-24,desktop,91,Wheelchair,Hindi
80,Darjeeling,West Bengal,27.107162265047084,88.12942555292116,Hill Station,Jul,Humid,3.0,Moderate,49,1,Couple,Culture,2.7,50,4798,610585,2.7,Amazing place!,2025-05-10,2025-05-11,desktop,54,None,English
81,Goa,Goa,15.317976676447708,74.04846170676467,Beach,Mar,Tropical,2.0,Easy,15,8,Couple,Food,2.7,50,1137,517978,2.2,Great for families.,2025-08-15,2025-08-23,desktop,98,None,Other
82,Udaipur,Rajasthan,24.63473179008809,73.7309836123695,Heritage,Oct,Cold,3.9,Easy,40,4,Couple,Culture,1.6,50,3921,221789,4.8,Not worth the price.,2025-07-20,2025-07-24,desktop,66,Wheelchair,Other
83,Leh,Ladakh,34.025797848835694,77.44408541728384,Adventure,Apr,Arid,2.7,Easy,47,8,Couple,Nature,2.7,20,4227,652433,4.2,Not worth the price.,2025-06-21,2025-06-29,mobile,94,None,Other
84,Rishikesh,Uttarakhand,29.910613307112897,78.38201352026164,Spiritual,Oct,Arid,1.4,Hard,21,10,Family,Spiritual,3.8,0,4108,756701,4.8,Amazing place!,2025-12-05,2025-12-15,desktop,95,Kids,Hindi
85,Leh,Ladakh,34.23308031787338,77.67002533459535,Adventure,May,Cold,3.5,Easy,22,9,Couple,Relaxation,3.6,20,3994,452744,4.8,Had a wonderful time.,2025-02-16,2025-02-25,desktop,10,None,Hindi
86,Udaipur,Rajasthan,24.390151312698933,73.68455009342,Heritage,Aug,Temperate,1.5,Hard,13,3,Solo,Relaxation,4.7,10,827,850294,4.2,Amazing place!,2025-08-11,2025-08-14,desktop,39,None,Hindi
87,Jaipur,Rajasthan,27.0062283805976,75.73569552717827,Historical,Jul,Humid,1.1,Hard,28,3,Friends,Spiritual,3.2,100,131,234055,2.8,Amazing place!,2025-12-30,2026-01-02,mobile,15,Wheelchair,Hindi
88,Darjeeling,West Bengal,27.180697788435374,88.28235547765115,Hill Station,Jun,Tropical,2.3,Moderate,37,13,Friends,Spiritual,3.5,150,3522,223618,4.5,Could be better.,2025-09-08,2025-09-21,mobile,13,Kids,Other
89,Manali,Himachal Pradesh,32.18787115498996,77.32963474401855,Hill Station,Jan,Arid,2.9,Easy,20,8,Couple,Culture,2.1,0,4362,729661,2.7,Had a wonderful time.,2025-12-25,2026-01-02,desktop,5,None,English
90,Goa,Goa,15.257281318290415,74.09582153911394,Beach,Mar,Arid,2.4,Moderate,8,2,Couple,Spiritual,1.9,0,432,321888,4.6,Great for families.,2025-03-14,2025-03-16,mobile,49,Wheelchair,Hindi
91,Varanasi,Uttar Pradesh,25.210542192032282,83.04216232364571,Spiritual,Aug,Temperate,4.8,Easy,41,11,Family,Food,3.4,150,3416,599722,4.6,Amazing place!,2025-08-14,2025-08-25,mobile,71,Wheelchair,Hindi
92,Kerala,Kerala,10.835581084024128,76.2051586588549,Backwater,Feb,Cold,4.4,Moderate,49,14,Family,Culture,1.9,10,825,216953,1.1,Great for families.,2025-09-16,2025-09-30,desktop,6,Wheelchair,English
93,Leh,Ladakh,34.29465042479899,77.51992537062505,Adventure,Aug,Tropical,3.8,Hard,36,3,Couple,Culture,1.9,100,2031,946936,3.4,Amazing place!,2025-12-23,2025-12-26,desktop,11,None,Hindi
94,Varanasi,Uttar Pradesh,25.168217035878573,82.9022943879266,Spiritual,Nov,Temperate,2.9,Hard,29,2,Couple,Adventure,4.4,0,4136,928952,3.2,Could be better.,2025-08-14,2025-08-16,desktop,79,None,English
95,Rishikesh,Uttarakhand,30.17531008365592,78.17253162085947,Spiritual,Oct,Humid,3.0,Moderate,41,12,Couple,Nature,1.4,50,4037,186988,4.4,Amazing place!,2025-02-09,2025-02-21,mobile,96,None,English
96,Jaipur,Rajasthan,26.86345605574818,75.89171608770691,Historical,Nov,Temperate,3.7,Hard,17,13,Couple,Nature,3.9,20,2384,119623,2.0,Had a wonderful time.,2025-02-28,2025-03-13,mobile,48,Wheelchair,Hindi
97,Varanasi,Uttar Pradesh,25.200710373425828,82.8996485649143,Spiritual,Jan,Tropical,4.7,Hard,31,6,Couple,Culture,1.8,100,557,174553,2.9,Had a wonderful time.,2025-01-31,2025-02-06,mobile,42,None,English
98,Mysore,Karnataka,12.241610087561146,76.70328910459367,Heritage,Mar,Tropical,4.6,Moderate,40,2,Solo,Culture,4.3,100,1548,264134,1.8,Could be better.,2025-01-13,2025-01-15,desktop,27,None,English
99,Goa,Goa,15.200181969038995,74.13944072769617,Beach,Nov,Tropical,2.5,Easy,39,6,Family,Relaxation,2.1,10,1248,244353,2.4,Amazing place!,2025-03-01,2025-03-07,mobile,94,None,English
100,Leh,Ladakh,34.10795663854495,77.59640899928984,Adventure,Feb,Cold,2.2,Easy,16,6,Family,Culture,3.8,150,2753,353973,3.5,Had a wonderful time.,2025-07-29,2025-08-04,desktop,14,Kids,Other
101,Kerala,Kerala,10.96086669425258,76.44364162750556,Backwater,Oct,Cold,2.5,Easy,15,1,Couple,Relaxation,2.3,20,2507,915673,1.0,Could be better.,2025-08-14,2025-08-15,mobile,4,Kids,Hindi
102,Goa,Goa,15.429165973416435,74.13476798697266,Beach,May,Arid,2.2,Moderate,18,4,Friends,Relaxation,3.6,20,3779,872944,4.9,Amazing place!,2025-04-02,2025-04-06,mobile,21,Kids,Hindi
103,Leh,Ladakh,34.029874021907915,77.74301369534483,Adventure,Mar,Arid,2.1,Hard,5,10,Couple,Adventure,4.6,10,1981,803650,1.1,Great for families.,2025-10-08,2025-10-18,desktop,12,None,Other
104,Manali,Himachal Pradesh,32.23138488216075,77.30042958315882,Hill Station,Nov,Humid,4.9,Moderate,29,1,Couple,Nature,1.4,20,3634,261779,1.1,Had a wonderful time.,2025-12-15,2025-12-16,desktop,44,None,Other
105,Leh,Ladakh,34.13643742545375,77.44287253289816,Adventure,Jun,Tropical,1.0,Hard,21,14,Couple,Culture,3.7,50,521,466245,1.9,Great for families.,2025-11-15,2025-11-29,desktop,2,None,Hindi
106,Darjeeling,West Bengal,27.065645893399857,88.25861420664039,Hill Station,Jan,Temperate,1.6,Easy,22,14,Friends,Nature,2.6,150,3567,817406,3.9,Had a wonderful time.,2025-01-11,2025-01-25,mobile,89,Wheelchair,English
107,Goa,Goa,15.39328481035297,74.20860135446712,Beach,May,Temperate,1.6,Easy,36,6,Couple,Spiritual,3.5,50,2721,436585,4.1,Amazing place!,2025-08-30,2025-09-05,desktop,97,Wheelchair,Other
108,Manali,Himachal Pradesh,32.34191412046872,77.19785857386937,Hill Station,Nov,Cold,1.3,Easy,30,6,Friends,Spiritual,2.3,150,90,150861,3.8,Not worth the price.,2025-05-23,2025-05-29,desktop,44,Kids,English
109,Goa,Goa,15.320356797762859,74.21202962492532,Beach,Jul,Arid,3.5,Hard,36,9,Friends,Nature,3.8,10,3390,506845,3.4,Had a wonderful time.,2025-01-07,2025-01-16,mobile,84,Kids,Other
110,Kerala,Kerala,10.985647842947351,76.31751346602233,Backwater,May,Humid,2.9,Hard,45,12,Solo,Adventure,3.9,20,2135,734379,1.6,Amazing place!,2025-10-28,2025-11-09,mobile,19,Kids,English
111,Udaipur,Rajasthan,24.75255202354054,73.6920969419019,Heritage,May,Arid,4.5,Easy,36,3,Couple,Nature,1.6,150,662,268484,5.0,Had a wonderful time.,2025-12-27,2025-12-30,mobile,3,Kids,English
112,Mysore,Karnataka,12.158830182031494,76.59198256835701,Heritage,Sep,Humid,2.7,Hard,37,7,Friends,Nature,2.9,150,159,683609,4.0,Great for families.,2025-10-20,2025-10-27,desktop,92,Wheelchair,Hindi
113,Kerala,Kerala,11.160986742846672,76.30584026366424,Backwater,May,Cold,3.1,Easy,40,10,Solo,Culture,3.9,50,2626,389102,4.6,Amazing place!,2025-09-19,2025-09-29,mobile,42,Wheelchair,English
114,Jaipur,Rajasthan,26.9924498241766,75.80522746044267,Historical,May,Temperate,1.8,Easy,22,8,Family,Food,4.3,0,2915,620985,3.9,Not worth the price.,2025-08-28,2025-09-05,desktop,87,None,Other
115,Mysore,Karnataka,12.328180012760594,76.61025100210064,Heritage,Feb,Humid,3.0,Moderate,18,8,Family,Spiritual,3.3,50,130,300422,1.7,Had a wonderful time.,2025-12-11,2025-12-19,mobile,28,Kids,Other
116,Manali,Himachal Pradesh,32.411276548031445,77.3424611560074,Hill Station,Apr,Temperate,2.6,Hard,35,11,Family,Spiritual,4.5,150,270,438511,3.1,Could be better.,2025-09-23,2025-10-04,desktop,94,Kids,English
117,Varanasi,Uttar Pradesh,25.161941810134024,82.93108848390341,Spiritual,Mar,Cold,3.5,Easy,24,12,Solo,Relaxation,1.1,100,2735,377707,2.9,Had a wonderful time.,2025-04-30,2025-05-12,desktop,56,None,Other
118,Rishikesh,Uttarakhand,30.06099578541793,78.24796501509151,Spiritual,Feb,Arid,2.1,Moderate,13,5,Family,Nature,4.7,100,1059,317285,1.7,Great for families.,2025-02-28,2025-03-05,mobile,33,Kids,Other
119,Goa,Goa,15.470875600800625,74.20118819950353,Beach,Feb,Humid,2.6,Moderate,28,11,Couple,Nature,1.0,10,4313,975825,4.9,Great for families.,2025-02-08,2025-02-19,mobile,56,Wheelchair,English
